telescope,z_low,z_high,z_mid,z_obs_low,z_obs_high,z_effective,coverage_fraction,var_noise_mK2,rms_noise_mK,supported_mode_fraction,effective_mode_count,status,kperp_min_envelope_Mpc_inv,kperp_max_envelope_Mpc_inv,kpar_min_Mpc_inv,kpar_min_lattice_Mpc_inv,k_max_Mpc_inv,voxel_side_Mpc,t_obs_hours,baseline_source,variance_estimator
ska_mid1_interferom,0.249967619047619,0.299967619047619,0.274967619047619,,,,0.0,,,,,out_of_band,,,,,0.535,8.660028081584393,100000.0,/home/liuhk/bao21cm-master/bao21cm-master/array_config/nx_SKAM190_dec30.dat,periodic_box_mode_sum
ska_mid1_interferom,0.299967619047619,0.34996761904761897,0.32496761904761895,,,,0.0,,,,,out_of_band,,,,,0.535,8.660028081584393,100000.0,/home/liuhk/bao21cm-master/bao21cm-master/array_config/nx_SKAM190_dec30.dat,periodic_box_mode_sum
ska_mid1_interferom,0.34996761904761897,0.399967619047619,0.374967619047619,0.352767619047619,0.399967619047619,0.37714158480122895,0.9495031483821366,0.06997434104240968,0.26452663579006497,0.7719293717658218,172964973.0691379,partial_band,0.21231211133876873,0.5349967942282413,0.0018520705993217209,0.002834135452558472,0.535,8.660028081584393,100000.0,/home/liuhk/bao21cm-master/bao21cm-master/array_config/nx_SKAM190_dec30.dat,periodic_box_mode_sum
ska_mid1_interferom,0.399967619047619,0.449967619047619,0.42496761904761904,0.399967619047619,0.449967619047619,0.42570751532760015,1.0,0.10366059748700279,0.3219636586433363,0.8267223243034895,185242341.83718538,ok,0.18411942728532546,0.5349970416920199,0.0017791517043631055,0.002834135452558472,0.535,8.660028081584393,100000.0,/home/liuhk/bao21cm-master/bao21cm-master/array_config/nx_SKAM190_dec30.dat,periodic_box_mode_sum
ska_mid1_interferom,0.449967619047619,0.499967619047619,0.47496761904761897,0.449967619047619,0.499967619047619,0.47560275872988567,1.0,0.1445300521744915,0.38017108276997014,0.8658512368411713,194009894.3502124,ok,0.1614381357592345,0.5349972612568678,0.0017118550320502197,0.002834135452558472,0.535,8.660028081584393,100000.0,/home/liuhk/bao21cm-master/bao21cm-master/array_config/nx_SKAM190_dec30.dat,periodic_box_mode_sum
ska_mid1_interferom,0.499967619047619,0.549967619047619,0.524967619047619,0.499967619047619,0.549967619047619,0.5255181454168827,1.0,0.19268048005972171,0.43895384730028475,0.8938999098799246,200294715.41573963,ok,0.14329210726960656,0.5349974518926794,0.001651202089439066,0.002834135452558472,0.535,8.660028081584393,100000.0,/home/liuhk/bao21cm-master/bao21cm-master/array_config/nx_SKAM190_dec30.dat,periodic_box_mode_sum
ska_mid1_interferom,0.549967619047619,0.5999676190476191,0.5749676190476191,0.549967619047619,0.5999676190476191,0.5754485221698978,1.0,0.24893082022920365,0.498929674632812,0.9143764155892251,204882853.12380138,ok,0.1284820058229151,0.5349976184857745,0.0015963127981748863,0.002834135452558472,0.535,8.660028081584393,100000.0,/home/liuhk/bao21cm-master/bao21cm-master/array_config/nx_SKAM190_dec30.dat,periodic_box_mode_sum
ska_mid1_interferom,0.5999676190476191,0.649967619047619,0.624967619047619,0.5999676190476191,0.649967619047619,0.6253903657355339,1.0,0.3135948572804409,0.5599954082672829,0.9297942762010591,208337508.3591752,ok,0.11619261041352143,0.5349977649617929,0.0015464429786632477,0.002834135452558472,0.535,8.660028081584393,100000.0,/home/liuhk/bao21cm-master/bao21cm-master/array_config/nx_SKAM190_dec30.dat,periodic_box_mode_sum
ska_mid1_interferom,0.649967619047619,0.699967619047619,0.674967619047619,0.649967619047619,0.699967619047619,0.6753411821172289,1.0,0.38838623065485356,0.6232064109545516,0.9416486820156932,210993706.0081757,ok,0.1058511229050771,0.5349978944959494,0.0015009613256400916,0.002834135452558472,0.535,8.660028081584393,100000.0,/home/liuhk/bao21cm-master/bao21cm-master/array_config/nx_SKAM190_dec30.dat,periodic_box_mode_sum
ska_mid1_interferom,0.699967619047619,0.749967619047619,0.724967619047619,0.699967619047619,0.749967619047619,0.7252991537574891,1.0,0.47360411798356944,0.6881890132685711,0.9508564264214575,213056870.4911223,ok,0.09704375602326573,0.5349980096736291,0.001459330413423358,0.002834135452558472,0.535,8.660028081584393,100000.0,/home/liuhk/bao21cm-master/bao21cm-master/array_config/nx_SKAM190_dec30.dat,periodic_box_mode_sum
ska_mid1_interferom,0.749967619047619,0.799967619047619,0.774967619047619,0.749967619047619,0.799967619047619,0.7752629229540379,1.0,0.5715797359811694,0.7560289253601143,0.9582092602757469,215143132.51229176,ok,0.08946446179253278,0.5349981126135841,0.0014210910958600872,0.002834135452558472,0.535,8.660028081584393,100000.0,/home/liuhk/bao21cm-master/bao21cm-master/array_config/nx_SKAM190_dec30.dat,periodic_box_mode_sum
ska_mid1_interferom,0.799967619047619,0.8499676190476191,0.8249676190476191,0.799967619047619,0.8499676190476191,0.8252314538252867,1.0,0.6831881005538673,0.826551934577536,0.9641337159567215,216895363.7786159,ok,0.0828822422042422,0.534998205062978,0.0013858497002634444,0.001417067726279236,0.535,8.660028081584393,100000.0,/home/liuhk/bao21cm-master/bao21cm-master/array_config/nx_SKAM190_dec30.dat,periodic_box_mode_sum
